"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"49",2018-02-11,863.31706694,863.31706694,789.77057817,815.99824714,1936106.70973866,828.67980412,828.74171075
"50",2018-02-10,885.44826239,920.6723418,833.35604632,863.73852892,2135450.68787598,878.64517842,877.44700485
"51",2018-02-09,816.31831757,885.88371784,788.98746189,885.59230601,2353116.01529445,831.38603479,835.87657469
"52",2018-02-08,753.23007606,841.55896069,753.23007606,814.58204224,3606565.56367168,811.35704036,811.20774432
"53",2018-02-07,788.62598554,853.16456705,723.27244627,754.72978642,4059955.76838164,791.28639359,795.66374627
"54",2018-02-06,697.42402802,798.61856434,570.56334736,794.8339686,7286497.64505396,681.81809457,677.73673156
"55",2018-02-05,827.98080661,856.03589521,641.40606,694.61281178,5040615.16636508,761.25614726,771.74741459
"56",2018-02-04,962.64945995,966.75822487,791.64729227,832.67083337,2665818.02745785,897.98776997,899.14017437
"57",2018-02-03,916.26630317,992.62915,845.10323605,959.30340774,2412711.56755075,921.88286082,931.85973693
"58",2018-02-02,1032.31652436,1032.31652436,751.78447463,915.59215404,6301580.88339742,909.23050244,911.95560524
"59",2018-02-01,1122.59742485,1158.87823759,974.89703346,1038.05640118,4056651.19212779,1086.31886174,1096.89240155
"60",2018-01-31,1077.18880737,1129.50824435,1032.68089283,1118.51558027,2342180.79050263,1094.773114,1095.22518402
"61",2018-01-30,1183.70524345,1185.38082068,1052.75069429,1067.16931144,2882870.38553331,1136.01734713,1141.0307363
"62",2018-01-29,1252.16740004,1263.05019605,1171.61397826,1184.19953067,2111013.01281217,1204.17494329,1202.11467475
"63",2018-01-28,1118.0227686,1266.13969611,1114.14089569,1253.0199952,3091195.54425916,1209.88267959,1200.63511028
"64",2018-01-27,1065.22446358,1127.46794958,1048.39813291,1112.69246132,1789765.29855946,1083.08310734,1085.34975248
"65",2018-01-26,1064.06697353,1088.63931628,999.49435724,1064.2548501,2375676.22734367,1055.3398371,1055.41306726
"66",2018-01-25,1085.66761866,1127.35439254,1045.41631745,1067.61359959,2368820.98994945,1083.71525938,1083.36881698
"67",2018-01-24,998.60560134,1084.18926071,973.44538581,1081.13479633,2454074.62947919,1024.1173742,1024.24873424
"68",2018-01-23,1019.39163552,1032.52254659,927.59486504,993.01825916,2546530.0466029,992.05227725,992.90875441
"69",2018-01-22,1081.07641198,1104.98026756,940.17943233,1022.06839983,2659689.6401599,1038.20564386,1041.32959331
"70",2018-01-21,1201.05756181,1201.05756181,1043.97902478,1070.8041606,2328793.19778705,1108.90479455,1108.74700216
"71",2018-01-20,1069.69180415,1209.1167282,1069.69180415,1199.12128435,2315994.71338381,1158.70989678,1159.59607376
"72",2018-01-19,1050.17494781,1113.11538117,1018.53110635,1064.24966696,2586515.96967105,1068.45132917,1068.85842198
"73",2018-01-18,1049.20377997,1125.35318868,977.20292715,1058.34715548,4191254.22888465,1059.95649085,1062.27091507
"74",2018-01-17,1065.04838922,1126.28028085,790.55831551,1044.05368718,6870853.43637834,959.38091422,959.36175955
"75",2018-01-16,1324.82002353,1324.82002353,875.33071967,1075.48249645,5950392.44583108,1130.68691181,1155.63395663
