"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"1",2018-03-31,6877.06055919,7224.07309637,6845.76540687,6980.79448493,382634.61907059,7044.70518589,7044.12780505
"2",2018-03-30,7145.55881192,7300.91315493,6667.08696822,6883.72520841,609854.55360488,6935.25722788,6936.28298295
"3",2018-03-29,7983.83714432,7996.38960727,7005.9980729,7154.14349083,531839.17325607,7535.63604302,7574.00526544
"4",2018-03-28,7846.584324,8119.13488131,7804.21509604,7972.35095902,275193.59762448,7956.31433476,7959.1319772
"5",2018-03-27,8189.53236396,8244.97032007,7806.92613999,7856.94884644,357522.24691056,8007.85872114,8009.49188198
"6",2018-03-26,8516.70668532,8551.12408801,7927.10526593,8208.52430225,380726.44585365,8237.71279536,8265.93257008
"7",2018-03-25,8601.54817077,8694.80518059,8455.45609032,8521.30181407,258690.56842447,8584.68630409,8584.75278113
"8",2018-03-24,8954.6975221,9017.10669004,8654.51830724,8654.51830724,299371.09000832,8898.39434709,8898.02319481
"9",2018-03-23,8770.40392139,8901.22221777,8359.14705601,8901.22221777,341786.7862481,8574.94250381,8578.10598089
"10",2018-03-22,8964.87566843,9129.40876003,8558.75156952,8756.31108237,345840.94498792,8842.3219026,8847.23004402
"11",2018-03-21,8962.11009794,9206.77617841,8848.18808908,8986.47732244,353673.54794206,9045.56184807,9044.86457761
"12",2018-03-20,8679.91985582,9066.72743849,8404.15844627,8940.89642499,412535.63211077,8678.37183569,8687.04872653
"13",2018-03-19,8169.82730937,8713.97404571,8077.0436764,8636.61678813,503124.12282296,8368.65408072,8376.72073457
"14",2018-03-18,7839.49893252,8217.21537657,7267.29831631,8177.93276916,631518.36303128,7624.87813565,7620.38541511
"15",2018-03-17,8287.74632163,8386.54351514,7765.67624761,7862.44808077,464051.1150031,8093.47096118,8087.88296349
"16",2018-03-16,8336.36535268,8696.34521966,8029.72884572,8302.11090872,511866.2414659,8330.81132454,8340.28387879
"17",2018-03-15,8264.85944436,8434.10428794,7799.7349982,8334.91658244,629016.20348997,8163.06401608,8163.02496476
"18",2018-03-14,9250.06720857,9413.92561141,8067.30811977,8288.75112907,572064.4752452,8819.4328223,8845.41270889
"19",2018-03-13,9201.03757902,9479.07976506,8982.00389505,9241.52908395,459688.63958122,9217.46227158,9217.2154217
"20",2018-03-12,9592.48619248,9937.69622929,8943.72052996,9226.94616831,534297.73388309,9504.86836283,9510.158682
"21",2018-03-11,8904.91112557,9738.39925761,8616.01001648,9597.52574574,520177.79864509,9152.89953631,9123.17539386
"22",2018-03-10,9345.49359778,9557.63582618,8824.34858948,8915.37282708,448346.45971269,9334.31404538,9316.00910287
"23",2018-03-09,9371.94892039,9464.53398632,8469.52087064,9376.64865941,762830.24268437,8979.49135659,8978.78416519
"24",2018-03-08,10010.06050842,10199.98030978,9226.02102977,9403.67860788,618794.69676366,9809.69046365,9798.71677845
"25",2018-03-07,10795.12253581,10957.7221302,9727.30090967,9983.97115602,610685.35420655,10427.91231307,10490.43725867
"26",2018-03-06,11516.41404449,11516.41404449,10679.38072253,10777.07020298,395171.32616837,11076.41131846,11098.74365479
"27",2018-03-05,11504.82151922,11700.32035435,11435.69263373,11598.16692006,258907.92674632,11546.4529174,11546.34739217
"28",2018-03-04,11498.85823708,11518.44989481,11142.85527291,11518.44989481,262700.59066801,11298.13665119,11297.06823945
"29",2018-03-03,11107.15896094,11536.29885092,11107.15896094,11507.32543459,294290.5669145,11392.14146495,11393.49295112
"30",2018-03-02,10956.77308116,11214.18757739,10870.87429675,11103.52618368,313416.43256748,11048.03959078,11049.16342817
"31",2018-03-01,10406.56398844,11061.24031683,10334.15213873,10948.59549471,317569.15706978,10682.65008703,10693.89367231
