"","Date","Open","High","Low","Close","Volume","VWAP","TWAP"
"26",2018-03-06,1263.48986979,1263.48986979,1176.45826272,1204.33385518,359717.12780665,1225.47483475,1226.22825049
"27",2018-03-05,1286.41620599,1292.08663992,1269.66794461,1270.4920511,294810.86139346,1280.32214082,1280.22053968
"28",2018-03-04,1268.3963889,1287.82136828,1225.66054124,1287.6515846,308856.74449419,1252.79137477,1253.30492257
"29",2018-03-03,1277.00376037,1301.70818167,1257.68905545,1268.77826413,320961.9501316,1280.18608277,1279.92050152
"30",2018-03-02,1284.91537088,1303.64623627,1255.35135427,1277.26610875,355706.02646809,1279.48307783,1279.0997326
"31",2018-03-01,1203.49761019,1301.98475542,1193.30392005,1289.07644695,389258.65771937,1261.43954582,1259.23141438
"32",2018-02-28,1239.09255199,1274.29524808,1202.89256549,1202.89256549,332757.51288477,1233.58757919,1233.37223193
"33",2018-02-27,1249.59831635,1297.82961759,1229.07940301,1245.24665175,351291.84383415,1258.70093699,1258.12122911
"34",2018-02-26,1177.42622621,1272.12948687,1147.63838184,1246.85613515,381014.90923977,1209.54392592,1206.51329032
"35",2018-02-25,1188.91123411,1205.72764374,1141.1376613,1175.8584601,319827.54211234,1179.15500539,1178.70823337
"36",2018-02-24,1267.72021536,1305.98462069,1147.33901879,1190.71665573,360381.71032761,1225.89191125,1223.93823657
"37",2018-02-23,1216.76875792,1317.25538945,1163.27264277,1271.40204435,405060.00746663,1245.05433899,1245.09318188
"38",2018-02-22,1306.00517198,1348.8179387,1192.23682524,1216.28445855,404643.7339596,1261.46602594,1262.04097716
"39",2018-02-21,1416.95980123,1426.16120186,1289.38298164,1304.96439456,452727.88946285,1361.74768287,1360.99804298
"40",2018-02-20,1533.8309664,1567.43073752,1410.70379085,1415.33738059,576925.80629727,1521.93856306,1523.2000871
"41",2018-02-19,1483.35894888,1550.50887988,1483.35894888,1533.87412091,391163.19037233,1521.33692296,1522.96210331
"42",2018-02-18,1551.435695,1640.75422952,1424.03145883,1491.14782416,613085.24844657,1534.85216361,1537.27892196
"43",2018-02-17,1549.29973561,1569.92536808,1513.33750187,1550.49940766,422073.9390125,1542.59063554,1541.96862078
"44",2018-02-16,1370.01155398,1556.41656459,1369.00773794,1555.33666052,626288.61949571,1500.04119031,1497.41391713
"45",2018-02-15,1363.66795806,1399.32480793,1327.80942487,1374.69708346,376322.87946418,1362.40878195,1363.58653794
"46",2018-02-14,1229.35412487,1380.98618141,1229.35412487,1364.71087765,472928.950808,1306.42316071,1302.73737837
"47",2018-02-13,1284.71303571,1288.15767292,1205.64826623,1231.7552496,374287.31889865,1237.95143985,1238.2607415
