coin,Date,Open,High,Low,Close,Volume,VWAP,TWAP
Bitcoin,2018-03-16,8336.36535268,8696.34521966,8029.72884572,8302.11090872,511866.24146590004,8330.81132454,8340.28387879
Bitcoin,2018-03-15,8264.85944436,8434.10428794,7799.7349982,8334.91658244,629016.20348997,8163.06401608,8163.02496476
Bitcoin,2018-03-14,9250.06720857,9413.92561141,8067.30811977,8288.75112907,572064.4752452,8819.4328223,8845.41270889
Bitcoin,2018-03-13,9201.03757902,9479.07976506,8982.00389505,9241.52908395,459688.63958122,9217.46227158,9217.2154217
Bitcoin,2018-03-12,9592.48619248,9937.69622929,8943.72052996,9226.94616831,534297.73388309,9504.86836283,9510.158682
Bitcoin,2018-03-11,8904.91112557,9738.39925761,8616.01001648,9597.52574574,520177.79864509,9152.89953631,9123.17539386
Bitcoin,2018-03-10,9345.49359778,9557.63582618,8824.34858948,8915.37282708,448346.45971269,9334.31404538,9316.00910287
Bitcoin,2018-03-09,9371.94892039,9464.53398632,8469.52087064,9376.64865941,762830.24268437,8979.49135659,8978.78416519
Bitcoin,2018-03-08,10010.06050842,10199.98030978,9226.02102977,9403.67860788,618794.69676366,9809.69046365,9798.71677845
Bitcoin,2018-03-07,10795.12253581,10957.7221302,9727.30090967,9983.97115602,610685.35420655,10427.91231307,10490.43725867
Bitcoin,2018-03-06,11516.41404449,11516.41404449,10679.38072253,10777.07020298,395171.32616837,11076.41131846,11098.74365479
Bitcoin,2018-03-05,11504.82151922,11700.32035435,11435.69263373,11598.16692006,258907.92674632,11546.4529174,11546.34739217
Bitcoin,2018-03-04,11498.85823708,11518.44989481,11142.85527291,11518.44989481,262700.59066801,11298.13665119,11297.06823945
Bitcoin,2018-03-03,11107.15896094,11536.29885092,11107.15896094,11507.32543459,294290.56691449997,11392.14146495,11393.49295112
Bitcoin,2018-03-02,10956.77308116,11214.18757739,10870.87429675,11103.52618368,313416.43256748,11048.03959078,11049.16342817
Bitcoin,2018-03-01,10406.56398844,11061.24031683,10334.15213873,10948.59549471,317569.15706978,10682.65008703,10693.89367231
Bitcoin,2018-02-28,10657.75663991,11089.92598017,10384.16221489,10395.91598663,365766.96665755,10689.03934514,10688.32755689
